City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
183,sao tome,0.3365,6.7273,299.02,86,99,2.46,ST,1732229304
184,port elizabeth,-33.918,25.5701,294.31,99,100,3.6,ZA,1732229155
185,lae,-6.7221,146.9847,302.16,58,61,1.25,PG,1732229304
186,sao vicente,-23.9631,-46.3919,295.34,26,100,4.02,BR,1732229304
187,kingston,17.997,-76.7936,301.68,70,20,1.54,JM,1732229304
188,inarajan village,13.2736,144.7484,302.48,86,6,7.11,GU,1732229304
189,vila velha,-20.3297,-40.2925,298.12,97,75,2.57,BR,1732229256
190,kikwit,-5.041,18.8162,293.05,98,64,0.86,CD,1732229203
191,dubbo,-32.25,148.6167,297.22,53,1,4.12,AU,1732229305
192,severo-yeniseyskiy,60.3725,93.0408,265.59,93,100,4.15,RU,1732229305
193,balaklava,44.5,33.6,281.14,49,100,5.69,UA,1732229305
194,hasaki,35.7333,140.8333,288.79,59,24,2.14,JP,1732229305
195,punta arenas,-53.15,-70.9167,291.21,36,0,2.57,CL,1732229305
196,chegdomyn,51.1167,133.0167,252.76,99,66,0.27,RU,1732229305
197,constantia,44.1833,28.65,273.54,64,31,4.12,RO,1732229305
198,bilibino,68.0546,166.4372,245.88,99,80,1.52,RU,1732229305
199,barranca,-10.75,-77.7667,292.68,80,100,3.99,PE,1732229305
200,tabou,4.423,-7.3528,298.88,88,4,4.26,CI,1732229305
201,nantucket,41.2835,-70.0995,283.21,87,100,9.26,US,1732229305
202,labrador city,52.9463,-66.9114,273.1,85,75,3.13,CA,1732229305
203,lauro de freitas,-12.8944,-38.3272,299.16,78,20,6.69,BR,1732229123
204,salina cruz,16.1667,-95.2,299.84,58,91,10.6,MX,1732229305
205,ajra,16.1167,74.2,289.79,67,52,2.15,IN,1732229305
206,remire-montjoly,4.9167,-52.2667,301.17,83,0,3.09,GF,1732229305
207,qianzhou,28.3167,109.7167,283.49,80,96,0.45,CN,1732229305
208,kidal,18.4411,1.4078,296.54,14,37,3.64,ML,1732229305
209,tazovsky,67.4667,78.7,246.58,95,72,5.58,RU,1732229306
210,vila franca do campo,37.7167,-25.4333,292.38,99,100,2.71,PT,1732229306
211,kayangel,8.0823,134.7173,301.97,79,100,8.23,PW,1732229306
212,betio village,1.358,172.9211,303.17,76,19,5.94,KI,1732229306
213,kerikeri,-35.2268,173.9474,293.15,37,0,1.88,NZ,1732229306
214,rabigh,22.7986,39.0349,298.53,52,55,1.88,SA,1732229306
215,taoudenni,22.6783,-3.9836,298.96,25,0,4.67,ML,1732229306
216,lieksa,63.3167,30.0167,270.37,93,100,3.19,FI,1732229306
217,karratha,-20.7377,116.8463,300.76,40,2,4.74,AU,1732229306
218,broome,42.2506,-75.833,276.3,95,100,3.09,US,1732229306
219,midvagur,62.0511,-7.1939,274.61,75,75,2.06,FO,1732229306
220,kalifornsky,60.4183,-151.29,264.32,79,0,3.09,US,1732229306
221,revda,56.801,59.9303,270.56,84,78,3.9,RU,1732229306
222,mil'kovo,55.6078,37.7956,276.12,66,100,7.76,RU,1732229306
223,nogliki,51.8333,143.1667,266.67,95,100,2.87,RU,1732229306
224,iskateley,67.6803,53.1512,261.98,78,100,8.23,RU,1732229306
225,ola,59.5833,151.2833,267.52,93,100,4.25,RU,1732229306
226,nova olinda do norte,-3.8881,-59.0942,301.74,65,98,0.78,BR,1732229306
227,weno,7.4515,151.8468,303.12,84,40,2.06,FM,1732229306
228,lakhdenpokh'ya,61.5198,30.1992,270.72,90,100,1.77,RU,1732229307
